cluster,idx,e_ts,e_ts-,e_ts+,barrier-,barrier+
0,26,-361.5247299977196,-361.6813326467963,-361.68236088003965,98.26816229663876,98.91337865583978
1,36,-361.52157140204343,-361.7001874344353,-361.6819396809217,112.08156032589088,100.6310949961032
2,2,-361.5288739174657,-361.69160553953003,-361.6823798076394,102.11409284535691,96.32494608398176
3,29,-361.5228521245786,-361.7500033469695,-361.67091259033754,142.53739205028168,92.90794226372924
4,9,-361.5623203755095,-361.68112205706814,-361.59011297335945,74.54805517804445,17.439855150845176
5,91,-361.68038792473976,-361.68177497932027,-361.68177399598096,0.870376749266768,0.8697597038528215
