idx,force_rms,imag_freq
0,0.6347445434950283,2
1,1.7157787964286606,2
2,0.40668953422673854,1
3,0.6379545723897059,2
4,0.30833505470353656,2
5,0.5220528555052649,2
6,0.46544120674636125,3
7,0.42276755356947515,2
8,0.5562076693639653,2
9,0.3284000387658081,1
10,0.520392118773322,2
11,0.435504463806576,2
12,0.43507518811894635,2
13,0.5354685914155244,2
14,0.4129650808204919,2
15,0.7238646326180714,3
16,0.9931817998917069,4
17,0.5545996415603367,1
18,0.45924578455705517,3
19,0.6780217996740394,3
20,0.7033354629258872,3
21,0.5179509460594622,3
22,0.42859138952750947,3
23,0.9171194648364207,2
24,0.5750224973716488,2
25,0.6069193181634753,3
26,0.21746102279516258,1
27,0.4864739620474088,3
28,1.71952704065068,4
29,1.0022894811916032,1
30,1.4964741446561176,2
31,0.43441374444454256,2
32,0.7365451371339805,3
33,0.4789623604719459,4
34,0.48318510311127166,2
35,1.506481749086343,2
36,0.34869869025843075,1
37,0.4956543996580565,3
38,0.31382998453572714,2
39,0.5096022790111593,2
40,0.5535050480830148,3
41,0.6125837713796525,3
42,0.3959781278595086,2
43,0.3317460845098758,1
44,0.5528042346682928,1
45,0.774066630835228,4
46,0.34605926848645624,1
47,0.4988474924430255,2
48,0.4014362324194829,3
49,1.8054820187964145,4
50,0.5296958860361184,2
51,0.624962960232471,2
52,0.6420543129278098,2
53,0.41854789718541474,2
54,0.4972279884484857,2
55,0.66229225094786,3
56,0.36043003771008136,2
57,0.34593680324076437,1
58,0.42454063490123545,1
59,0.38241786638097724,1
60,0.40875615008025545,2
61,0.3977086947284591,1
62,0.3932106011076947,2
63,0.7356181301191854,3
64,0.48694310478553166,3
65,0.44875543248878874,2
66,0.79891308272532,4
67,0.3863337521643702,1
68,0.4548518157466898,1
69,0.4681382378404043,2
70,0.7098602418277251,1
71,0.6503070565977958,3
72,0.38253786093694286,2
73,1.613465134732893,3
74,0.7582315481791074,4
75,0.5484210816161512,3
76,0.4023265066837252,1
77,0.42044282087273455,2
78,0.28261702089680074,1
79,0.5487048296466638,1
80,0.35998740723943445,1
81,0.40510159173037147,2
82,0.6461988798481545,2
83,0.398643176017903,2
84,0.4402289675608506,1
85,0.7180032923506195,3
86,0.4585448279521596,1
87,0.5712804480443382,1
88,0.6321281467331854,4
89,0.5151925309117505,3
90,0.6226712198560149,3
91,0.369464553462183,1
92,0.30495963343276306,2
93,0.5061019830896294,3
94,0.6590287492488026,2
95,0.8299139896930305,4
96,0.4499300285522418,3
97,0.5511896963916874,2
98,0.7190884815546478,3
99,0.44513315906213774,2
100,0.7409428985229932,2
101,0.4634713849716647,2
102,0.6232923627028732,5
103,0.3380430767933442,2
104,0.5019651731306125,3
105,0.48269543699075274,1
106,0.6495885042502791,3
107,0.7704198879542393,2
108,0.44232563903163913,1
109,1.62850240487489,3
110,0.40953967986496953,1
111,0.4437931729203446,2
112,0.33271543375981266,2
113,0.2816704110484027,2
114,0.45213156158588075,3
115,0.35520449779614666,2
116,0.7817337779876226,4
117,0.4362289489034831,1
118,0.31351934576688534,2
119,0.6251840102004711,2
120,0.47147564706005707,3
121,0.5907064240160674,1
122,0.4306254251911763,1
123,0.36410250794088783,3
124,0.37127904212038626,1
125,0.4359361756326867,2
126,0.5818389759312752,4
127,0.28644367930000214,1
